＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
149013018,CAL_225_240111_33000,CAL,202401,33000,650,645,33464.17,14.1659,-0.0236,14,日経225
149013118,CAL_225_240111_33125,CAL,202401,33125,565,565,33464.17,14.2706,-0.0236,14,日経225
149013218,CAL_225_240111_33250,CAL,202401,33250,480,475,33464.17,13.746,-0.0236,14,日経225
149013318,CAL_225_240111_33375,CAL,202401,33375,410,410,33464.17,13.9346,-0.0236,14,日経225
149013518,CAL_225_240111_33500,CAL,202401,33500,340,340,33464.17,13.6767,-0.0236,14,日経225
149013618,CAL_225_240111_33625,CAL,202401,33625,280,276,33464.17,13.3804,-0.0236,14,日経225
149013718,CAL_225_240111_33750,CAL,202401,33750,235,235,33464.17,13.7154,-0.0236,14,日経225
149013818,CAL_225_240111_33875,CAL,202401,33875,190,186,33464.17,13.4573,-0.0236,14,日経225
149014018,CAL_225_240111_34000,CAL,202401,34000,150,150,33464.17,13.4724,-0.0236,14,日経225
149014118,CAL_225_240111_34125,CAL,202401,34125,125,121,33464.17,13.5848,-0.0236,14,日経225
199014218,CAL_225_240111_34250,CAL,202401,34250,93,93,33464.17,13.4704,-0.0236,14,日経225
149014318,CAL_225_240111_34375,CAL,202401,34375,73,72,33464.17,13.5015,-0.0236,14,日経225
199014518,CAL_225_240111_34500,CAL,202401,34500,56,55,33464.17,13.4833,-0.0236,14,日経225
149014618,CAL_225_240111_34625,CAL,202401,34625,43,42,33464.17,13.517,-0.0236,14,日経225
199014718,CAL_225_240111_34750,CAL,202401,34750,34,34,33464.17,13.7436,-0.0236,14,日経225
149014818,CAL_225_240111_34875,CAL,202401,34875,26,26,33464.17,13.8332,-0.0236,14,日経225
149135018,CAL_225_240111_35000,CAL,202401,35000,21,21,33464.17,14.1225,-0.0236,14,日経225
149015118,CAL_225_240111_35125,CAL,202401,35125,17,16,33464.17,14.2574,-0.0236,14,日経225
199015218,CAL_225_240111_35250,CAL,202401,35250,13,12,33464.17,14.393,-0.0236,14,日経225
149015318,CAL_225_240111_35375,CAL,202401,35375,11,11,33464.17,14.8352,-0.0236,14,日経225
199015518,CAL_225_240111_35500,CAL,202401,35500,9,9,33464.17,15.0641,-0.0236,14,日経225
